5 -5.12610039101 0.975076764079 1.0 -5.6160034067 3.49062520858 1.0 -6.42356552056 5.92287362798 1.0 4.79179974722 2.25384838092 0.0 4.05694522369 6.02717104767 0.0 , 10.3633045635 2.10524613886 1.63894463757 
6 -5.47907551957 1.9337978071 1.0 -6.28663763343 4.36604622649 1.0 -7.39859869789 6.67505716898 1.0 4.92872763434 0.697020979441 0.0 4.19387311082 4.47034364619 0.0 2.98252994003 8.11871627529 0.0 , 10.2890461807 3.72474873882 1.71238457306 
5 -5.19848666031 0.354150111626 1.0 -6.00604877417 2.78639853102 1.0 -7.11800983862 5.09540947351 1.0 4.47446197008 2.89069595072 0.0 3.26311879929 6.53906857982 0.0 , 10.138874485 5.15791577957 1.76250906724 
6 -5.66014347851 1.24203391371 1.0 -6.77210454296 3.5510448562 1.0 -8.17020618807 5.69890442594 1.0 4.82036726574 1.3463313334 0.0 3.60902409495 4.9947039625 0.0 1.94108249828 8.45822037624 0.0 , 9.60030073787 6.72494455143 1.83005724475 
4 -6.31179642289 2.01231776589 1.0 -7.709898068 4.16017733564 1.0 4.06933221502 3.45597687219 0.0 2.40139061834 6.91949328593 0.0 , 9.23541497895 8.04168832459 1.8918279808 
6 -5.7744140026 0.520470620004 1.0 -7.17251564771 2.66833018975 1.0 -8.83380108311 4.619770592 1.0 4.60671463532 1.96412972631 0.0 2.93877303864 5.42764614004 0.0 0.841620570974 8.64943549466 0.0 , 8.75383959256 9.83371736228 1.96298708675 
5 -6.54113054051 1.19854927701 1.0 -8.20241597592 3.14998967926 1.0 5.23809974251 0.49434881357 0.0 3.57015814583 3.95786522731 0.0 1.47300567817 7.17965458193 0.0 , 8.06045294753 11.3981358105 2.01421149646 
5 -7.46595183311 1.758114444 1.0 -9.36314279789 3.48109308129 1.0 4.30662228864 2.56598999205 0.0 2.20946982098 5.78777934667 0.0 -0.282458332128 8.71493995003 0.0 , 7.25570254029 12.7750584182 2.08664600221 
5 -6.68507997264 0.386865983875 1.0 -8.58227093742 2.10984462117 1.0 5.08749414911 1.19474153192 0.0 2.99034168145 4.41653088654 0.0 0.498413528341 7.34369148991 0.0 , 6.57802886215 14.033529519 2.15571458946 
4 -7.66554582182 0.81524655808 1.0 3.90706679705 3.12193282346 0.0 1.41513864394 6.04909342682 0.0 -1.43064780323 8.63356138276 0.0 , 5.36993240569 15.3582072912 2.20285550908 
4 -8.76743687904 1.02234756824 1.0 4.90712041079 1.86280822287 0.0 2.41519225769 4.78996882624 0.0 -0.430594189484 7.37443678217 0.0 , 4.5269723331 16.5723344331 2.26824373067 
4 5.95332555616 0.71090813435 0.0 3.46139740306 3.63806873772 0.0 0.615610955888 6.22253669365 0.0 -2.53730605056 8.42187510977 0.0 , 3.69294829971 17.7750086321 2.33035319898 
3 4.59681772505 2.51456894896 0.0 1.75103127788 5.0990369049 0.0 -1.40188572857 7.29837532102 0.0 , 2.23516772813 18.9419221904 2.39181826633 
4 5.79435629048 1.48400285033 0.0 2.94856984331 4.06847080626 0.0 -0.204347163132 6.26780922238 0.0 -3.61262391878 8.0459050227 0.0 , 1.283494647 19.9541302998 2.4727127085 
4 7.05935744715 0.518861262568 0.0 4.21357099998 3.1033292185 0.0 1.06065399353 5.30266763462 0.0 -2.34762276211 7.08076343494 0.0 , 0.218301999411 20.8895033976 2.52598719184 
4 5.51773233226 2.21169428261 0.0 2.36481532581 4.41103269873 0.0 -1.04346142983 6.18912849905 0.0 -4.65113412457 7.51678539967 0.0 , -1.26421165247 21.7040781741 2.56629324443 
4 6.87605410446 1.43441890204 0.0 3.72313709801 3.63375731816 0.0 0.314860342368 5.41185311848 0.0 -3.29281235237 6.7395100191 0.0 , -2.7753330931 22.5771626784 2.65178978282 
5 8.31950780613 0.701465401661 0.0 5.16659079968 2.90080381778 0.0 1.75831404404 4.67889961809 0.0 -1.84935865071 6.00655651872 0.0 -5.59718939863 6.86197443005 0.0 , -4.12615177457 23.1542043399 2.70386212624 
5 9.77358220561 0.103236610138 0.0 6.62066519917 2.30257502626 0.0 3.21238844352 4.08067082657 0.0 -0.395284251217 5.4083277272 0.0 -4.14311499915 6.26374563853 0.0 , -5.46302141756 23.9283513151 2.78044434875 
5 8.1254345949 1.77069616369 0.0 4.71715783925 3.54879196401 0.0 1.10948514451 4.87644886463 0.0 -2.63834560342 5.73186677596 0.0 -6.46479512727 6.10099975955 0.0 , -6.9832376203 24.3390583333 2.84406098946 
5 9.66612198097 1.37630675326 0.0 6.25784522533 3.15440255357 0.0 2.65017253059 4.4820594542 0.0 -1.09765821734 5.33747736553 0.0 -4.92410774119 5.70661034912 0.0 , -8.59325929554 24.775567411 2.90779144825 
5 7.81677885996 2.80580844522 0.0 4.20910616522 4.13346534584 0.0 0.461275417286 4.98888325718 0.0 -3.36517410657 5.35801624076 0.0 -7.20741221095 5.23480314322 0.0 , -10.0352677553 25.1564543027 2.94967472833 
5 9.37602258501 2.60209383163 0.0 5.76834989027 3.92975073225 0.0 2.02051914234 4.78516864359 0.0 -1.80593038151 5.15430162718 0.0 -5.64816848589 5.03108852963 0.0 , -11.5602996455 25.4516273372 3.03157228842 
5 7.33370240462 3.79053462659 0.0 3.58587165669 4.64595253793 0.0 -0.240577867164 5.01508552151 0.0 -4.08281597154 4.89187242397 0.0 -7.877753213 4.27833640095 0.0 , -13.2238687559 25.3672810941 3.08929525248 
6 6.07085337468 -5.82349231684 1.0 3.57229954273 -5.25321370929 1.0 1.0213331935 -5.00712505356 1.0 -1.54015887609 -5.08926711859 1.0 -4.07011703706 -5.49829113394 1.0 -6.52699944636 -6.22748093658 1.0 , -14.9856782302 25.3218373341 3.148196729 
6 7.66000029718 -5.74559908418 1.0 5.16144646523 -5.17532047662 1.0 2.610480116 -4.9292318209 1.0 0.0489880464099 -5.01137388593 1.0 -2.48097011456 -5.42039790127 1.0 -4.93785252386 -6.14958770392 1.0 , -16.6086233139 25.4274211753 3.21657180758 
6 6.74334029974 -4.98598791614 1.0 4.1923739505 -4.73989926042 1.0 1.63088188091 -4.82204132545 1.0 -0.899076280059 -5.23106534079 1.0 -3.35595868936 -5.96025514344 1.0 -5.69942340575 -6.99763745697 1.0 , -18.2545940192 25.318404852 3.29435411189 
6 8.30950679694 -4.70718386878 1.0 5.7585404477 -4.46109521306 1.0 3.19704837812 -4.54323727809 1.0 0.667090217142 -4.95226129343 1.0 -1.78979219216 -5.68145109608 1.0 -4.13325690855 -6.71883340961 1.0 , -19.8253565366 24.9261606564 3.34855216968 
6 7.29726715733 -4.1017461858 1.0 4.73577508774 -4.18388825083 1.0 2.20581692677 -4.59291226618 1.0 -0.251065482529 -5.32210206882 1.0 -2.59453019892 -6.35948438235 1.0 -4.78609759655 -7.68802541787 1.0 , -21.1051185047 24.5354012899 3.40761683187 
6 8.81831772031 -3.62414447836 1.0 6.25682565072 -3.70628654339 1.0 3.72686748975 -4.11531055874 1.0 1.26998508045 -4.84450036138 1.0 -1.07347963594 -5.88188267492 1.0 -3.26504703357 -7.21042371044 1.0 , -22.8605920467 24.1808362968 3.47874784011 
6 7.74464748217 -3.13815839138 1.0 5.2146893212 -3.54718240673 1.0 2.7578069119 -4.27637220937 1.0 0.414342195511 -5.31375452291 1.0 -1.77722520212 -6.64229555843 1.0 -3.7809098049 -8.24018070886 1.0 , -24.1444484075 23.4819907512 3.51485415524 
