11 -5.00613915311 0.0139740353844 1.0 -5.17033887665 2.57151726907 1.0 -5.66024189233 5.08706571357 1.0 -6.46780400619 7.51931413297 1.0 -5.00613915311 0.0139740353844 1.0 4.99386084689 0.0139740353844 0.0 4.74756126159 3.85028888592 0.0 4.01270673806 7.62361155267 0.0 4.01270673806 -7.5956634819 0.0 4.74756126159 -3.82234081515 0.0 4.99386084689 0.0139740353844 0.0 , 0.501777032769 0.64333583683 1.56883301398 0.0 0.0 1.57079632679 
8 -5.11148561527 0.979907264591 1.0 -5.60138863095 3.49545570909 1.0 -6.40895074481 5.92770412849 1.0 5.05271410827 -1.5776359691 0.0 4.80641452296 2.25867888144 0.0 4.07155999944 6.03200154819 0.0 4.80641452296 -5.41395081963 0.0 5.05271410827 -1.5776359691 0.0 , 0.506221395117 2.23014778725 1.64731445557 -0.0503330882029 1.58559799141 1.63426284505 
9 -5.46459165906 1.89477648683 1.0 -6.27215377292 4.32702490623 1.0 -7.38411483737 6.63603584872 1.0 5.18951108016 -3.17831519136 0.0 4.94321149486 0.657999659177 0.0 4.20835697133 4.43132232593 0.0 2.99701380054 8.07969495502 0.0 4.94321149486 -7.01463004189 0.0 5.18951108016 -3.17831519136 0.0 , 0.214492720601 3.73997113503 1.6843105381 -0.20112967923 3.16481133934 1.6977293633 
8 -5.20879837233 0.340838212819 1.0 -6.01636048619 2.77308663222 1.0 -7.12832155065 5.08209757471 1.0 5.44530436689 -4.73225346537 0.0 5.19900478158 -0.895938614836 0.0 4.46415025806 2.87738405191 0.0 3.25280708727 6.52575668101 0.0 5.44530436689 -4.73225346537 0.0 , 0.0727999749534 5.23632239677 1.76535552883 -0.451782568432 4.73128110901 1.76119588156 
9 -5.67257190818 1.23364639177 1.0 -6.78453297264 3.54265733427 1.0 -8.18263461775 5.69051690401 1.0 5.7890929449 -6.27169370581 0.0 5.54279335959 -2.43537885528 0.0 4.80793883607 1.33794381147 0.0 3.59659566528 4.98631644057 0.0 1.9286540686 8.44983285431 0.0 5.7890929449 -6.27169370581 0.0 , -0.49619580629 6.90586275523 1.82630761225 -0.801282465091 6.27869967953 1.82466239981 
6 -6.31592386769 2.00313229366 1.0 -7.71402551279 4.1509918634 1.0 6.01140246454 -3.97490389589 0.0 5.27654794102 -0.201581229136 0.0 4.06520477023 3.44679139996 0.0 2.39726317355 6.9103078137 0.0 , -0.542060416581 8.26150003986 1.87568921001 -1.24822205648 7.80083614246 1.88812891807 
8 -5.77158955798 0.538331053977 1.0 -7.16969120309 2.68619062372 1.0 -8.8309766385 4.63763102597 1.0 6.55573677425 -5.43970513557 0.0 5.82088225072 -1.66638246882 0.0 4.60953907993 1.98199016028 0.0 2.94159748325 5.44550657402 0.0 0.844445015588 8.66729592864 0.0 , -1.27476373048 9.8920396281 1.94885404453 -1.7908016746 9.29156139151 1.95159543632 
7 -6.53912729698 1.21066942769 1.0 -8.20041273239 3.16210982994 1.0 7.18630068036 -6.9152263316 0.0 6.45144615683 -3.14190366485 0.0 5.24010298604 0.50646896425 0.0 3.57216138936 3.96998537799 0.0 1.4750089217 7.19177473261 0.0 , -1.8954670553 11.3036712224 2.01344854517 -2.42683654283 10.7448728022 2.01506195458 
6 -7.4914340156 1.76297846366 1.0 7.16042487362 -4.54103503112 0.0 5.94908170283 -0.892662402024 0.0 4.28114010615 2.57085401171 0.0 2.18398763849 5.79264336633 0.0 -0.307940514622 8.7198039697 0.0 , -2.50694872506 12.6894504836 2.07215387559 -3.15376557326 12.1549184025 2.07852847283 
7 -6.66951636608 0.405528818587 1.0 -8.56670733086 2.12850745588 1.0 7.98234252313 -5.8984846762 0.0 6.77099935234 -2.2501120471 0.0 5.10305775567 1.21340436664 0.0 3.005905288 4.43519372125 0.0 0.513977134896 7.36235432462 0.0 , -3.56216247978 13.9514830463 2.15120615234 -3.96866167922 13.5160204364 2.14199499108 
6 -7.66008582643 0.827918315743 1.0 7.67762085677 -3.55070118724 0.0 6.00967926009 -0.0871847734998 0.0 3.91252679243 3.13460458112 0.0 1.42059863932 6.06176518449 0.0 -1.42518780784 8.64623314042 0.0 , -4.407021299 15.5443269467 2.21720400337 -4.86824356172 14.8226982264 2.20546150934 
6 -8.7973978026 1.03004243474 1.0 8.64225355157 -4.81480267899 0.0 6.97431195489 -1.35128626525 0.0 4.87715948723 1.87050308936 0.0 2.38523133412 4.79766369273 0.0 -0.460555113046 7.38213164867 0.0 , -5.35012938923 16.5887478981 2.25160167045 -5.84888892203 16.0696902422 2.26892802759 
6 0.446874678927 -9.76536290914 1.0 8.04810065571 -2.54917644661 0.0 5.95094818805 0.672612908004 0.0 3.45902003494 3.59977351137 0.0 0.613233587769 6.18424146731 0.0 -2.53968341868 8.38357988343 0.0 , -6.35356469343 17.5244092992 2.33727594541 -6.90664904737 17.2519752871 2.33239454585 
6 0.481254449204 -8.53714914438 1.0 9.19444149044 -3.62997362434 0.0 7.09728902277 -0.408184269726 0.0 4.60536086967 2.51897633364 0.0 1.7595744225 5.10344428958 0.0 -1.39334258395 7.3027827057 0.0 , -7.59784468671 18.885630664 2.38986676157 -8.03726471107 18.3647927164 2.3958610641 
7 1.65625110226 -9.5641038713 1.0 0.258149457151 -7.41624430155 1.0 8.27228567583 -1.43513899664 0.0 5.78035752272 1.49202160673 0.0 2.93457107555 4.07648956267 0.0 -0.218345930892 6.27582797878 0.0 -3.62662268654 8.0539237791 0.0 , -8.88454991229 19.8031012681 2.46530282046 -9.23618332289 19.4036616073 2.45932758236 
6 1.52652722052 -8.41211205664 1.0 9.5406634392 -2.43100675173 0.0 7.04873528609 0.496153851637 0.0 4.20294883892 3.08062180757 0.0 1.05003183248 5.27996022369 0.0 -2.35824492317 7.05805602401 0.0 , -9.96365161316 20.7741172259 2.52354376548 -10.4985772607 20.3643988013 2.52279410061 
7 2.85609914892 -9.25807647899 1.0 1.19481371352 -7.30663607674 1.0 8.3783072145 -0.34981057071 0.0 5.53252076733 2.23465738523 0.0 2.37960376088 4.43399580135 0.0 -1.02867299476 6.21209160166 0.0 -4.6363456895 7.53974850229 0.0 , -11.2396304456 21.7099386876 2.59561987042 -11.8193633097 21.2431357487 2.58626061886 
7 2.56296861723 -8.13503903711 1.0 0.665777652445 -6.41206039982 1.0 9.7464621182 -1.17821353107 0.0 6.90067567103 1.40625442486 0.0 3.74775866459 3.60559284098 0.0 0.339481908942 5.38368864129 0.0 -3.2681907858 6.71134554192 0.0 , -12.6655689499 22.5661813544 2.63662891128 -13.1932231307 22.0363340862 2.64972713712 
7 3.97063328081 -8.82662039314 1.0 2.07344231603 -7.10364175585 1.0 8.30834033461 0.714673068835 0.0 5.15542332817 2.91401148495 0.0 1.74714657252 4.69210728527 0.0 -1.86052612222 6.01976418589 0.0 -5.60835687015 6.87518209723 0.0 , -14.1025470998 23.2007425255 2.71682611465 -14.614624675 22.7407998839 2.71319365537 
7 3.53143076976 -7.72474629018 1.0 1.4294860988 -6.25852067944 1.0 9.76632878835 0.0935685344982 0.0 6.6134117819 2.29290695062 0.0 3.20513502626 4.07100275093 0.0 -0.40253766848 5.39865965156 0.0 -4.15036841641 6.25407756289 0.0 , -15.6061979563 23.9962820345 2.77609707849 -16.0778444602 23.3536965066 2.77666017363 
8 5.04653231568 -8.22993850295 1.0 2.94458764471 -6.7637128922 1.0 0.672403140949 -5.57831569199 1.0 8.12851332782 1.78771473785 0.0 4.72023657217 3.56581053817 0.0 1.11256387743 4.89346743879 0.0 -2.6352668705 5.74888535012 0.0 -6.46171639435 6.11801833371 0.0 , -17.1336954507 24.4215237371 2.84568385796 -17.5769906168 23.8725560361 2.84012669188 
7 4.46905515797 -7.18952412324 1.0 2.19687065421 -6.00412692303 1.0 9.65298084108 1.36190350681 0.0 6.24470408543 3.13999930713 0.0 2.63703139069 4.46765620775 0.0 -1.11079935724 5.32307411909 0.0 -4.93724888109 5.69220710267 0.0 , -18.7390253995 24.7082907509 2.90636335344 -19.1060266123 24.2952892081 2.90359321014 
8 6.01923331304 -7.51181895013 1.0 3.74704880928 -6.32642174992 1.0 1.34193367945 -5.4413171495 1.0 7.7948822405 2.81770448024 0.0 4.18720954576 4.14536138086 0.0 0.439378797831 5.0007792922 0.0 -3.38707072602 5.36991227579 0.0 -7.2293088304 5.24669917824 0.0 , -20.0216073499 25.1601349336 2.96164749759 -20.6587955583 24.6201938253 2.96705972839 
8 5.34663738038 -6.55429596821 1.0 2.94152225055 -5.66919136779 1.0 0.442968418598 -5.09891276024 1.0 9.3944708116 2.58983026195 0.0 5.78679811686 3.91748716257 0.0 2.03896736893 4.77290507391 0.0 -1.78748215492 5.14203805749 0.0 -5.6297202593 5.01882495995 0.0 , -21.7589449784 25.3151865137 3.02495484753 -22.2290450025 24.8459616115 3.03052624664 
8 6.89602771508 -6.69250196172 1.0 4.49091258525 -5.8073973613 1.0 1.9923587533 -5.23711875374 1.0 7.33618845156 3.77928116907 0.0 3.58835770363 4.6346990804 0.0 -0.238091820218 5.00383206399 0.0 -4.0803299246 4.88061896644 0.0 -7.87526716606 4.26708294342 0.0 , -23.2838234011 25.4586238023 3.09819389005 -23.8104521044 24.9716834796 3.0939927649 
9 6.09799857328 -5.82259256973 1.0 3.59944474132 -5.25231396217 1.0 1.04847839209 -5.00622530644 1.0 -1.5130136775 -5.08836737147 1.0 -4.04297183847 -5.49739138682 1.0 -6.49985424777 -6.22658118946 1.0 8.94327443959 3.76408596064 0.0 5.19544369166 4.61950387197 0.0 1.36899416781 4.98863685556 0.0 , -25.0438860841 25.5595871722 3.16169968164 -25.3966490959 24.9968531918 3.15745928315 
8 7.67162777643 -5.74594927207 1.0 5.17307394448 -5.17567066451 1.0 2.62210759525 -4.92958200878 1.0 0.0606155256604 -5.01172407381 1.0 -2.46934263531 -5.42074808916 1.0 -4.92622504461 -6.1499378918 1.0 6.76907289482 4.69614716963 0.0 2.94262337096 5.06528015322 0.0 , -26.5144348634 25.4486873163 3.2010455938 -26.9812489214 24.9213693988 3.22092580141 
9 6.73717193364 -4.99584195461 1.0 4.18620558441 -4.74975329888 1.0 1.62471351482 -4.83189536391 1.0 -0.905244646152 -5.24091937926 1.0 -3.36212705545 -5.9701091819 1.0 -5.70559177184 -7.00749149544 1.0 8.33317088398 4.87597587954 0.0 4.50672136012 5.24510886312 0.0 0.664483255744 5.12189576558 0.0 , -28.0790579288 25.2852282794 3.29204085433 -28.5578709568 24.745536047 3.28439231966 
8 8.31047461391 -4.71339147343 1.0 5.75950826468 -4.4673028177 1.0 3.19801619509 -4.54944488273 1.0 0.668058034119 -4.95846889808 1.0 -1.78882437518 -5.68765870072 1.0 -4.13228909157 -6.72504101425 1.0 6.0800240404 5.52755934431 0.0 2.23778593602 5.40434624676 0.0 , -29.6569795932 25.0805848071 3.35551497785 -30.1201667016 24.4700611554 3.34785883792 
8 7.29210679761 -4.11063740501 1.0 4.73061472803 -4.19277947004 1.0 2.20065656706 -4.60180348539 1.0 -0.256225842244 -5.33099328803 1.0 -2.59969055863 -6.36837560156 1.0 -4.79125795626 -7.69691663709 1.0 7.61262257333 5.884224757 0.0 3.77038446895 5.76101165945 0.0 , -30.9998138942 24.5668630046 3.42782530131 -31.6618453423 24.096053964 3.41132535617 
8 8.83273505366 -3.63078359331 1.0 6.27124298408 -3.71292565834 1.0 3.7412848231 -4.12194967369 1.0 1.2844024138 -4.85113947633 1.0 -1.05906230259 -5.88852178986 1.0 -3.25062970021 -7.21706282538 1.0 5.311012725 6.24086547115 0.0 1.51607548354 5.62732944813 0.0 , -32.7465799762 24.0446776114 3.47973184254 -33.1766990829 23.6250204679 3.47479187443 
8 7.74027740841 -3.15650320882 1.0 5.21031924743 -3.56552722416 1.0 2.75343683813 -4.2947170268 1.0 0.409972121744 -5.33209934034 1.0 -1.78159527588 -6.66064037586 1.0 -3.78527987867 -8.25852552629 1.0 6.78004714933 6.79728792068 0.0 2.98510990787 6.18375189765 0.0 , -34.1786784999 23.5079709977 3.53401928084 -34.6586281423 23.0588573526 3.53825839268 
9 9.18775188573 -2.51195141395 1.0 6.65779372475 -2.9209754293 1.0 4.20091131545 -3.65016523194 1.0 1.85744659906 -4.68754754547 1.0 -0.334120798564 -6.016088581 1.0 -2.33780540135 -7.61397373143 1.0 4.43258438519 6.82830369252 0.0 0.74726077124 5.73451898856 0.0 -9.06081430396 -0.211193760675 0.0 , -35.7269557807 22.7746830299 3.60263350382 -36.1016653151 22.3998443573 3.60172491093 
8 8.05859807135 -2.14027888907 1.0 5.60171566205 -2.86946869171 1.0 3.25825094566 -3.90685100525 1.0 1.06668354804 -5.23539204077 1.0 -0.937001054746 -6.8332771912 1.0 -2.7199024169 -8.67426922655 1.0 5.83338873179 7.60900023275 0.0 2.14806511784 6.51521552879 0.0 , -36.9562329291 22.2084162668 3.65387458514 -37.5 21.6506350946 3.66519142919 
8 9.40495365986 -1.32226521326 1.0 6.94807125056 -2.0514550159 1.0 4.60460653417 -3.08883732944 1.0 2.41303913655 -4.41737836496 1.0 0.409354533764 -6.01526351539 1.0 -1.37354682839 -7.85625555074 1.0 3.49442070635 7.3332292046 0.0 -8.98800641208 -1.37397159766 0.0 , -38.1932186351 21.1904935088 3.73408874071 -38.8480015967 20.8142463659 3.72865794744 
9 8.22922698965 -1.11725289232 1.0 5.88576227325 -2.15463520586 1.0 3.69419487563 -3.48317624138 1.0 1.69051027285 -5.08106139181 1.0 -0.0923910893113 -6.92205342716 1.0 -1.62523401977 -8.97592330911 1.0 4.77557644543 8.26743132818 0.0 1.26037937085 6.71135785787 0.0 -7.706850673 -0.439769474084 0.0 , -39.6485615417 20.4295637997 3.77895131271 -40.1402421784 19.8940460133 3.7921244657 
8 9.46881999892 -0.13597183157 1.0 7.12535528253 -1.17335414511 1.0 4.9337878849 -2.50189518063 1.0 2.93010328212 -4.09978033106 1.0 1.14720191996 -5.94077236641 1.0 -0.385641010494 -7.99464224835 1.0 2.49997238012 7.69263891862 0.0 -8.76652205941 -2.53929323625 0.0 , -40.9525188584 19.4574013212 3.84342735433 -41.3715183486 18.8937393589 3.85559098395 
9 8.28252678971 -0.0605710389547 1.0 6.09095939208 -1.38911207448 1.0 4.0872747893 -2.98699722491 1.0 2.30437342714 -4.82798926026 1.0 0.771530496687 -6.8818591422 1.0 -0.486084763524 -9.11488238406 1.0 3.6571438873 8.80542202478 0.0 0.369792790859 6.81261047149 0.0 -7.60935055223 -1.4265101301 0.0 , -41.9253170834 18.3198862014 3.92791067505 -42.5368721927 17.8173542845 3.91905750221 
9 9.37898623038 1.05453694989 1.0 7.18741883275 -0.274004085631 1.0 5.18373422997 -1.87188923606 1.0 3.40083286781 -3.71288127141 1.0 1.86798993736 -5.76675115336 1.0 0.610374677149 -7.99977439522 1.0 1.46625223153 7.92771846034 0.0 -6.51289111156 -0.311402141253 0.0 -8.39931400188 -3.66093700404 0.0 , -42.9831112165 17.052717773 3.98148932311 -43.6316112419 16.6692250129 3.98252402046 
8 8.20376944228 0.931008323043 1.0 6.20008483949 -0.66687682739 1.0 4.41718347734 -2.50786886274 1.0 2.88434054688 -4.56173874469 1.0 1.62672528667 -6.79476198654 1.0 0.664987704507 -9.17027240842 1.0 2.48260284106 9.13273086901 0.0 -7.38296339235 -2.45592459537 0.0 , -44.2462233814 15.8935409399 4.0494000169 -44.6513273686 15.4539746555 4.04599053871 
9 9.14980358286 2.22092047956 1.0 7.14611898008 0.623035329125 1.0 5.36321761792 -1.21795670623 1.0 3.83037468747 -3.27182658817 1.0 2.57275942726 -5.50484983003 1.0 1.61102184509 -7.88036025191 1.0 0.423110077468 8.02581529988 0.0 -6.43692925177 -1.16601243885 0.0 -7.87953562501 -4.72927807167 0.0 , -45.1618417883 14.7680836888 4.11530204617 -45.5919145357 14.1764965966 4.10945705697 
8 7.98552920905 1.95590114038 1.0 6.20262784689 0.114909105033 1.0 4.66978491644 -1.93896077691 1.0 3.41216965623 -4.17198401877 1.0 2.45043207406 -6.54749444065 1.0 1.80036387445 -9.0264862271 1.0 1.26252030644 9.35868111114 0.0 -7.04012539604 -3.39641226041 0.0 , -46.1880992195 13.0815023287 4.17337478744 -46.4495853309 12.8419347893 4.17292357522 
8 8.76871763054 3.33288291436 1.0 6.98581626838 1.49189087901 1.0 5.45297333793 -0.561979002936 1.0 4.19535807772 -2.7950022448 1.0 3.23362049555 -5.17051266667 1.0 2.58355229594 -7.64950445312 1.0 -6.25693697456 -2.01943048644 0.0 -7.23203927397 -5.73791816611 0.0 , -46.5541580401 12.0367134234 4.24700974051 -47.2208862164 11.4556630432 4.23639009348 
9 7.67026045847 2.958468685 1.0 6.13741752801 0.904598803057 1.0 4.8798022678 -1.3284244388 1.0 3.91806468564 -3.70393486068 1.0 3.26799648603 -6.18292664713 1.0 2.94027177084 -8.72469482154 1.0 0.0558008747776 9.44075263808 0.0 -5.57249278447 -0.552852680445 0.0 -6.54759508388 -4.27134036011 0.0 , -47.3742114794 10.5625600225 4.29763991211 -47.9027114358 10.0232633852 4.29985661173 
8 8.27562137069 4.42558689582 1.0 6.74277844023 2.37171701388 1.0 5.48516318002 0.138693772019 1.0 4.52342559786 -2.23681664986 1.0 3.87335739825 -4.7158084363 1.0 3.54563268306 -7.25757661072 1.0 -5.94223417166 -2.80422214929 0.0 -6.43382124444 -6.61687441091 0.0 , -48.0725752482 9.07001298898 4.36260114166 -48.4923155196 8.55050358314 4.36332312999 
8 7.23158770031 3.87128057728 1.0 5.9739724401 1.63825733542 1.0 5.01223485793 -0.73725308646 1.0 4.36216665833 -3.21624487291 1.0 4.03444194314 -5.75801304732 1.0 4.03444194314 -8.32082184655 1.0 -5.45342491158 -1.30465858589 0.0 -5.94501198436 -5.11731084751 0.0 , -48.4207822283 7.60453956889 4.44003799906 -48.9873243404 7.04331392104 4.42678964824 
8 7.63091983849 5.41442859333 1.0 6.37330457827 3.18140535147 1.0 5.41156699611 0.80589492959 1.0 4.7614987965 -1.67309685686 1.0 4.43377408132 -4.21486503127 1.0 4.43377408132 -6.7776738305 1.0 -5.54567984619 -3.57416283146 0.0 -5.54567984619 -7.4183760303 0.0 , -49.0448037994 6.05961674598 4.47417178726 -49.3857446721 5.50776331966 4.49025616649 
